season,week,celebrity_name,judge_rank,audience_share_rank,judge_share,audience_share,rank_diff_share,rank_direction_share,survival_prob
18,1,NeNe Leakes,7.0,2.0,0.0801526717556946,0.08709788904937146,5.0,5.0,0.9408190211525578
19,1,Janel Parrish,7.0,2.0,0.07795698924729087,0.08295093289326952,5.0,5.0,0.9805636848690362
19,1,Jonathan Bennett,6.0,1.0,0.0806451612903009,0.0834522090523843,5.0,5.0,1.0
19,1,Tavis Smiley,7.0,2.0,0.07795698924729087,0.08295093289326952,5.0,5.0,0.9805636848690362
19,1,Tommy Chong,9.0,4.0,0.07258064516127082,0.0807819789747516,5.0,5.0,0.9345830698914286
22,3,Von Miller,8.0,3.0,0.08438818565397284,0.09580130152230855,5.0,5.0,0.9063589489249977
23,4,Calvin Johnson Jr.,6.0,1.0,0.08812260536395092,0.10373475417164389,5.0,5.0,0.97740426447957
24,1,Bonner Bolton,9.0,4.0,0.07284768211918118,0.08740668828554087,5.0,5.0,0.8818843424213705
24,2,David Ross,8.0,3.0,0.08231707317070662,0.09140278031513961,5.0,5.0,0.9423430965577092
24,3,Rashad Jennings,6.0,1.0,0.08888888888886068,0.10172509587783178,5.0,5.0,0.9210730434678192
25,3,Frankie Muniz,6.0,1.0,0.08606557377045654,0.09792934847754715,5.0,5.0,0.9202508133496206
25,6,Frankie Muniz,6.0,1.0,0.10130718954245056,0.12223257774390868,5.0,5.0,0.8727621433048948
26,2,Josh Norman,6.0,1.0,0.11775700934575038,0.1366854623730685,5.0,5.0,0.9266462814033777
27,1,Evanna Lynch,9.0,4.0,0.07058823529408997,0.08043760750157714,5.0,5.0,0.9120959570402426
27,1,John Schneider,9.0,4.0,0.07058823529408997,0.08043760750157714,5.0,5.0,0.9120959570402426
27,2,DeMarcus Ware,6.0,1.0,0.08687615526799007,0.09445121249485533,5.0,5.0,1.0
27,4,DeMarcus Ware,7.0,2.0,0.09482758620685568,0.11293357194154266,5.0,5.0,0.9455749655142275
27,5,Evanna Lynch,6.0,1.0,0.10810810810805942,0.12996026900217564,5.0,5.0,0.9568563453071869
28,2,Lauren Alaina,6.0,1.0,0.0867579908675403,0.09296811002680777,5.0,5.0,0.9828096821943448
28,3,Kel Mitchell,6.0,1.0,0.10101010101005001,0.11182867736755883,5.0,5.0,0.9409305931113787
28,4,Kate Flannery,8.0,3.0,0.092198581560251,0.11141981048593085,5.0,5.0,0.8891535839300214
28,6,Ally Brooke,6.0,1.0,0.10964912280696945,0.1347187733089658,5.0,5.0,0.9360751967529682
29,3,Jesse Metcalfe,9.0,4.0,0.07117437722417397,0.07665016954796734,5.0,5.0,0.9524134052119083
29,5,Chrishell Stause,11.0,6.0,0.06620209059231143,0.08500694243063742,5.0,5.0,0.8301444172982682
29,7,Kaitlyn Bristowe,9.0,4.0,0.09230769230765681,0.10785701193629968,5.0,5.0,0.8847992900730185
30,3,Suni Lee,7.0,2.0,0.07046979865769448,0.07895533047535713,5.0,5.0,0.9488238830852525
30,7,Amanda Kloots,6.0,1.0,0.10397553516816392,0.12803815757381737,5.0,5.0,0.9087673703317024
31,1,Jessie James Decker,12.0,7.0,0.05235602094239467,0.06281621624282116,5.0,5.0,0.8494016317561779
31,1,Joseph Baena,9.0,4.0,0.060209424083753876,0.06679329069164426,5.0,5.0,0.9366520595951678
31,1,Sam Champion,12.0,7.0,0.05235602094239467,0.06281621624282116,5.0,5.0,0.8494016317561779
31,1,Teresa Giudice,12.0,7.0,0.05235602094239467,0.06281621624282116,5.0,5.0,0.8494016317561779
31,2,Selma Blair,6.0,1.0,0.0679611650485272,0.0743770943985324,5.0,5.0,0.9789795055505716
31,2,Shangela,6.0,1.0,0.0679611650485272,0.0743770943985324,5.0,5.0,0.9789795055505716
33,2,Jenn Tran,9.0,4.0,0.07364341085268464,0.08440543274139918,5.0,5.0,0.9275204210583086
1,2,Evander Holyfield,6.0,2.0,0.11570247933874735,0.1702399420349855,4.0,4.0,0.7410624532973485
2,3,Giselle Fernandez,5.0,1.0,0.12087912087905447,0.13910194346523383,4.0,4.0,0.9518413526193048
2,3,Jerry Rice,7.0,3.0,0.10439560439554704,0.12720545102100178,4.0,4.0,0.8479366080436072
3,1,Monique Coleman,6.0,2.0,0.0896226415093917,0.09761782862345524,4.0,4.0,0.9483638907083751
4,1,Paulina Porizkova,5.0,1.0,0.0922330097086931,0.09795515022962115,4.0,4.0,0.9454773546402552
4,1,Shandi Finnessey,5.0,1.0,0.0922330097086931,0.09795515022962115,4.0,4.0,0.9454773546402552
4,2,Ian Ziering,5.0,1.0,0.0897959183673103,0.09957642427767031,4.0,4.0,0.959573200952667
4,5,Heather Mills,5.0,1.0,0.11931818181811403,0.14568709415037676,4.0,4.0,0.9072317822774434
4,6,Heather Mills,5.0,1.0,0.13529411764697924,0.16283006164033179,4.0,4.0,0.9037361416298416
5,1,Albert Reed,5.0,1.0,0.08171206225677755,0.08899220563371756,4.0,4.0,0.9583401956274307
5,1,Cameron Mathison,5.0,1.0,0.08171206225677755,0.08899220563371756,4.0,4.0,0.9583401956274307
5,1,Jennie Garth,5.0,1.0,0.08171206225677755,0.08899220563371756,4.0,4.0,0.9583401956274307
5,1,Marie Osmond,5.0,1.0,0.08171206225677755,0.08899220563371756,4.0,4.0,0.9583401956274307
5,1,Mark Cuban,5.0,1.0,0.08171206225677755,0.08899220563371756,4.0,4.0,0.9583401956274307
5,2,Jane Seymour,5.0,1.0,0.08823529411760998,0.09846219222801161,4.0,4.0,0.9536028853782246
5,3,Cameron Mathison,7.0,3.0,0.0962343096233907,0.1064535710829965,4.0,4.0,0.928160786208494
6,4,Mario,5.0,1.0,0.10666666666661927,0.12164831038934279,4.0,4.0,0.9401125180694604
6,5,Cristian de la Fuente,5.0,1.0,0.11734693877545034,0.13692510846512443,4.0,4.0,0.9051971976432545
6,6,Jason Taylor,5.0,1.0,0.13333333333325928,0.15300784091723493,4.0,4.0,0.8851701570241727
7,1,Misty May-Treanor,5.0,1.0,0.08333333333330027,0.08290967083942655,4.0,4.0,0.9978242940529138
7,4,Warren Sapp,5.0,1.0,0.10837438423639982,0.12587157030882948,4.0,4.0,0.9395443963067989
8,1,Chuck Wicks,5.0,1.0,0.08230452674893733,0.08334739637446437,4.0,4.0,0.9804760575645818
8,1,David Alan Grier,6.0,2.0,0.07818930041149046,0.08300590308184977,4.0,4.0,0.9540972096152653
8,2,Ty Murray,6.0,2.0,0.07547169811317907,0.08404912923363278,4.0,4.0,0.9654210323584931
8,4,Chuck Wicks,6.0,2.0,0.09090909090905334,0.10377594211044042,4.0,4.0,0.9521717509542775
8,4,Holly Madison,9.0,5.0,0.06611570247931152,0.09543978141691271,4.0,4.0,0.7901406985001911
9,1,Melissa Joan Hart,9.0,5.0,0.05911353345233402,0.07089589442791643,4.0,4.0,0.999200271713095
9,3,Louie Vito,6.0,2.0,0.0775193798449312,0.08360032018917156,4.0,4.0,0.9455284136063165
9,3,Michael Irvin,13.0,9.0,0.054263565891451836,0.07502854496138672,4.0,4.0,0.7587487094408443
9,6,Kelly Osbourne,6.0,2.0,0.09615340976176605,0.12456755793925839,4.0,4.0,0.8884495790778612
9,7,Mya,5.0,1.0,0.13960113960106008,0.16070455228085845,4.0,4.0,0.8524449406281267
10,4,Erin Andrews,5.0,1.0,0.10512129380048242,0.12329768133540453,4.0,4.0,0.8821025280226487
10,4,Jake Pavelka,6.0,2.0,0.10242587601072646,0.12146896260967965,4.0,4.0,0.8646313338932432
10,5,Pamela Anderson,5.0,1.0,0.12138728323692406,0.14087252234786074,4.0,4.0,0.893375868661295
10,6,Evan Lysacek,5.0,1.0,0.12918703555460276,0.1607837656624424,4.0,4.0,0.9315255628680719
11,1,Kurt Warner,5.0,1.0,0.0837004405285975,0.09513713290716758,4.0,4.0,0.9759736267491179
11,3,Kyle Massey,5.0,1.0,0.10407239818999817,0.11242194122527639,4.0,4.0,0.9703253677466965
11,5,Audrina Patridge,5.0,1.0,0.12637362637355695,0.1418691571517207,4.0,4.0,0.9280309084372831
11,6,Jennifer Grey,5.0,1.0,0.1400970921157028,0.1690592540016588,4.0,4.0,0.9757136096019253
12,1,Chris Jericho,5.0,1.0,0.09178743961348224,0.09809494133067193,4.0,4.0,0.9522411356881257
12,1,Romeo,5.0,1.0,0.09178743961348224,0.09809494133067193,4.0,4.0,0.9522411356881257
12,2,Kirstie Alley,5.0,1.0,0.09259259259254973,0.10208704574033313,4.0,4.0,0.9554203960896964
12,3,Chris Jericho,5.0,1.0,0.09813084112144947,0.10917673045607786,4.0,4.0,0.932830481873244
12,5,Petra Nemcova,6.0,2.0,0.11340206185561165,0.13307435369008405,4.0,4.0,0.8881514095120787
13,1,Carson Kressley,7.0,3.0,0.07834101382484869,0.08686466291359903,4.0,4.0,0.884350562804227
13,1,Chaz Bono,7.0,3.0,0.07834101382484869,0.08686466291359903,4.0,4.0,0.884350562804227
13,6,Rob Kardashian,5.0,1.0,0.1325301204818479,0.1633432669488258,4.0,4.0,0.8957632057355425
14,2,Sherri Sheperd,6.0,2.0,0.0855018587360277,0.09112999962170533,4.0,4.0,0.9859318313330567
14,3,Roshon Fegan,5.0,1.0,0.0892857142856824,0.10417044510597322,4.0,4.0,0.9840732939275314
16,1,Ingo Rademacher,5.0,1.0,0.08733624454144659,0.08918616780128284,4.0,4.0,0.9872314188266429
16,1,Jacoby Jones,5.0,1.0,0.08733624454144659,0.08918616780128284,4.0,4.0,0.9872314188266429
18,6,James Maslow,5.0,1.0,0.12411347517726096,0.1483187837330885,4.0,4.0,0.9242284513868764
19,2,Sadie Robertson,5.0,1.0,0.08563535911599844,0.09349906816355212,4.0,4.0,0.9884098857737293
19,4,Bethany Mota,5.0,1.0,0.10312499999996778,0.11179218364007501,4.0,4.0,0.959861040878612
20,1,Chris Soules,5.0,1.0,0.08176100628928247,0.0891992001805507,4.0,4.0,0.9434821686312097
20,1,Michael Sam,5.0,1.0,0.08176100628928247,0.0891992001805507,4.0,4.0,0.9434821686312097
20,1,Noah Galloway,5.0,1.0,0.08176100628928247,0.0891992001805507,4.0,4.0,0.9434821686312097
20,2,Robert Herjavec,6.0,2.0,0.08069164265127358,0.0890577387115248,4.0,4.0,0.9537130735443494
21,4,Carlos PenaVega,5.0,1.0,0.10593220338978562,0.1088591177169488,4.0,4.0,0.975555008750838
21,5,Nick Carter,5.0,1.0,0.11627906976740324,0.12293620712180266,4.0,4.0,0.9654445969681136
22,2,Nyle DiMarco,5.0,1.0,0.0847457627118285,0.09396655472297694,4.0,4.0,1.0
22,4,Nyle DiMarco,5.0,1.0,0.10658307210028008,0.10965583663650313,4.0,4.0,0.9601371764429552
23,4,Jana Kramer,6.0,2.0,0.08812260536395092,0.10113065679148227,4.0,4.0,0.9641378675551646
24,1,Chris Kattan,12.0,8.0,0.056291390728458186,0.08028723099642208,4.0,4.0,0.7515960263946905
24,2,Bonner Bolton,5.0,1.0,0.08536585365851056,0.09390355755315138,4.0,4.0,0.9724466644973643
24,4,David Ross,7.0,3.0,0.09509202453984814,0.10972229108216863,4.0,4.0,0.9115500046943098
24,4,Normani,5.0,1.0,0.09815950920242388,0.1218017423768478,4.0,4.0,0.9789632101674128
25,3,Sasha Pieterse,11.0,7.0,0.07786885245898448,0.08936663090632664,4.0,4.0,0.8364284606745871
27,1,Bobby Bones,5.0,1.0,0.07843137254898885,0.08301869600048727,4.0,4.0,0.9750513691032736
27,1,Milo Manheim,5.0,1.0,0.07843137254898885,0.08301869600048727,4.0,4.0,0.9750513691032736
27,3,DeMarcus Ware,5.0,1.0,0.0959409594095587,0.10258486172052156,4.0,4.0,1.0
27,4,Evanna Lynch,5.0,1.0,0.10344827586202437,0.11591920112126032,4.0,4.0,0.9983983355316087
27,6,DeMarcus Ware,5.0,1.0,0.11353711790388056,0.13181611467786375,4.0,4.0,0.9660173158414579
28,1,Karamo Brown,5.0,1.0,0.08629441624361102,0.08779058983026622,4.0,4.0,0.9327035286619972
28,1,Lamar Odom,12.0,8.0,0.05583756345174831,0.08313031251731351,4.0,4.0,0.7445548080791065
28,1,Mary Wilson,5.0,1.0,0.08629441624361102,0.08779058983026622,4.0,4.0,0.9327035286619972
28,3,Lauren Alaina,6.0,2.0,0.10101010101005001,0.10909866374027848,4.0,4.0,0.9288615831261084
29,1,AJ McLean,6.0,2.0,0.0692307692307426,0.06941625336376102,4.0,4.0,0.9476399609973566
29,1,Anne Heche,6.0,2.0,0.0692307692307426,0.06941625336376102,4.0,4.0,0.9476399609973566
29,1,Jeannie Mai,6.0,2.0,0.0692307692307426,0.06941625336376102,4.0,4.0,0.9476399609973566
29,1,Jesse Metcalfe,6.0,2.0,0.0692307692307426,0.06941625336376102,4.0,4.0,0.9476399609973566
29,1,Johnny Weir,6.0,2.0,0.0692307692307426,0.06941625336376102,4.0,4.0,0.9476399609973566
29,1,Monica Aldama,5.0,1.0,0.07307692307689498,0.07251769658181696,4.0,4.0,0.9951261636416955
29,2,Veron Davis,6.0,2.0,0.06593406593404179,0.07183320704351025,4.0,4.0,0.9401164876138178
29,6,Johnny Weir,9.0,5.0,0.08208955223877534,0.09782590073355492,4.0,4.0,0.8926425928024487
29,6,Nev Schulman,5.0,1.0,0.09701492537309814,0.10148059455227759,4.0,4.0,0.9848267763482289
29,7,Justina Machado,5.0,1.0,0.09999999999996154,0.11293607474705206,4.0,4.0,0.9412532967725591
29,7,Monica Aldama,10.0,6.0,0.08461538461535208,0.09631751108921711,4.0,4.0,0.7997878460888291
30,1,Christine Chiu,7.0,3.0,0.06830601092894309,0.07108649796434897,4.0,4.0,0.979292961845976
30,1,Kenya Moore,5.0,1.0,0.07103825136610081,0.07130169625337185,4.0,4.0,1.0
30,1,Melora Hardin,5.0,1.0,0.07103825136610081,0.07130169625337185,4.0,4.0,1.0
30,1,Olivia Jade,7.0,3.0,0.06830601092894309,0.07108649796434897,4.0,4.0,0.979292961845976
30,2,Christine Chiu,10.0,6.0,0.06233766233764615,0.06880607123275555,4.0,4.0,0.921118274654815
30,2,Matt James,14.0,10.0,0.057142857142842306,0.06490493565128191,4.0,4.0,0.857230835689075
30,3,Melanie C,5.0,1.0,0.07382550335567993,0.07926843290387356,4.0,4.0,0.9721201776528315
31,1,Jordin Sparks,7.0,3.0,0.06806282722511307,0.0669363136576973,4.0,4.0,0.9956261452767576
31,2,Cheryl Ladd,15.0,11.0,0.0509708737863954,0.06555362428035465,4.0,4.0,0.8014366337272698
31,3,Selma Blair,9.0,5.0,0.06947890818856838,0.07807000165177241,4.0,4.0,0.9182398644379269
31,5,Heidi D'Amelio,5.0,1.0,0.08695652173911105,0.09373206852161631,4.0,4.0,0.9939595941782982
32,1,Mira Sorvino,7.0,3.0,0.07359307359304174,0.0760132265145593,4.0,4.0,0.9333274937575957
32,2,Ariana Madix,5.0,1.0,0.08403361344534285,0.086536658111113,4.0,4.0,1.0
32,3,Lele Pons,5.0,1.0,0.08359133126932397,0.09433110194139183,4.0,4.0,0.9346561690307653
33,1,Danny Amendola,5.0,1.0,0.08097165991899556,0.08292140468262348,4.0,4.0,0.9607140765517127
33,1,Jenn Tran,6.0,2.0,0.07692307692304579,0.08246988683008558,4.0,4.0,0.9343352286023962
33,1,Phaedra Parks,6.0,2.0,0.07692307692304579,0.08246988683008558,4.0,4.0,0.9343352286023962
34,2,Danielle Fishel,10.0,6.0,0.06834532374098261,0.07763297788880485,4.0,4.0,0.9282142473865946
34,2,Hilaria Baldwin,5.0,1.0,0.07553956834529657,0.07994169486924646,4.0,4.0,0.9886395587986081
34,3,Robert Irwin,5.0,1.0,0.08560311284043362,0.09669249442251736,4.0,4.0,0.9903853046880687
34,5,Jordan Chiles,5.0,1.0,0.10223642172520696,0.12096273112214477,4.0,4.0,0.963208840750277
34,9,Jordan Chiles,5.0,1.0,0.14444444444439095,0.18283748653882537,4.0,4.0,0.9070821686121872
2,1,Tia Carrere,6.0,3.0,0.10256410256404998,0.10232961414067186,3.0,3.0,0.939611206043413
2,2,Tia Carrere,5.0,2.0,0.109999999999945,0.12121096567781478,3.0,3.0,0.9531576395383506
2,4,Tia Carrere,4.0,1.0,0.1582278481011657,0.15946826447374082,3.0,3.0,0.9906062076868409
3,2,Willa Ford,5.0,2.0,0.09999999999995653,0.11094472180808472,3.0,3.0,0.9703773132665158
3,3,Emmitt Smith,9.0,6.0,0.09178743961348224,0.11320033333746553,3.0,3.0,0.8401573319049547
3,3,Mario Lopez,4.0,1.0,0.10628019323666364,0.1264509594955082,3.0,3.0,0.9538655965468577
3,4,Monique Coleman,4.0,1.0,0.12121212121206,0.14067698553570235,3.0,3.0,0.944166585077745
3,5,Joey Lawrence,5.0,2.0,0.13812154696124967,0.16153843895989617,3.0,3.0,0.8789003135948134
4,1,Billy Ray Cyrus,11.0,8.0,0.06310679611647423,0.08756807005868894,3.0,3.0,0.7490459654696079
4,1,John Ratzenberger,8.0,5.0,0.08252427184462013,0.09447161807601831,3.0,3.0,0.8798949726343562
4,3,Laila Ali,6.0,3.0,0.09633027522931362,0.10776677278193524,3.0,3.0,0.9199305356644523
4,4,Heather Mills,4.0,1.0,0.12105263157888367,0.12773121389807138,3.0,3.0,0.9725747821937776
5,6,Sabrina Bryan,4.0,1.0,0.13888888888881173,0.15208520153447452,3.0,3.0,0.9087011993522012
6,1,Jason Taylor,4.0,1.0,0.09053497942383106,0.0889531158209695,3.0,3.0,1.0
6,1,Marlee Matlin,4.0,1.0,0.09053497942383106,0.0889531158209695,3.0,3.0,1.0
6,1,Penn Jillette,10.0,7.0,0.06584362139914986,0.0835395615441055,3.0,3.0,0.8322734872156708
6,2,Marissa Jaret Winokur,6.0,3.0,0.08171206225677755,0.09147100548243894,3.0,3.0,0.9583504060196459
6,3,Jason Taylor,5.0,2.0,0.1008771929824119,0.1086581484305134,3.0,3.0,0.9503670144316878
