season,week,celebrity_name,judge_rank,audience_rank,final_rank_alt,pred_eliminated_alt,judge_total_score
2,1,Kenny Mayne,9.0,9.0,9.0,0,13.0
2,1,Master P,10.0,10.0,10.0,1,12.0
2,2,Stacy Keibler,1.0,2.0,1.0,0,29.0
2,2,Drew Lachey,2.0,1.0,1.0,0,27.0
2,2,Giselle Fernandez,3.0,3.0,3.0,0,24.0
2,2,Jerry Rice,4.0,4.0,4.0,0,23.0
2,2,Tia Carrere,5.0,5.0,5.0,0,22.0
2,2,George Hamilton,5.0,6.0,6.0,0,22.0
2,2,Lisa Rinna,7.0,8.0,7.0,0,20.0
2,2,Tatum O'Neal,8.0,7.0,7.0,0,17.0
2,2,Master P,9.0,9.0,9.0,1,16.0
2,3,Drew Lachey,1.0,2.0,1.0,0,27.0
2,3,Stacy Keibler,1.0,2.0,1.0,0,27.0
2,3,Tia Carrere,3.0,1.0,3.0,0,26.0
2,3,Lisa Rinna,4.0,5.0,4.0,0,25.0
2,3,Giselle Fernandez,5.0,4.0,4.0,0,22.0
2,3,George Hamilton,5.0,6.0,6.0,0,22.0
2,3,Jerry Rice,7.0,7.0,7.0,0,19.0
2,3,Master P,8.0,8.0,8.0,1,14.0
2,4,Stacy Keibler,2.0,2.0,1.0,0,26.0
2,4,Drew Lachey,1.0,4.0,2.0,0,28.0
2,4,Lisa Rinna,2.0,3.0,2.0,0,26.0
2,4,Tia Carrere,4.0,1.0,2.0,0,25.0
2,4,Jerry Rice,5.0,5.0,5.0,0,24.0
2,4,George Hamilton,6.0,6.0,6.0,0,21.0
2,4,Master P,7.0,7.0,7.0,1,8.0
2,5,Stacy Keibler,1.0,1.0,1.0,0,30.0
2,5,Drew Lachey,2.0,3.0,2.0,0,27.0
2,5,Lisa Rinna,3.0,2.0,2.0,0,25.0
2,5,George Hamilton,4.0,6.0,4.0,0,24.0
2,5,Tia Carrere,6.0,4.0,4.0,0,22.0
2,5,Jerry Rice,5.0,5.0,6.0,1,23.0
2,6,Stacy Keibler,1.0,1.0,1.0,0,30.0
2,6,Drew Lachey,1.0,2.0,2.0,0,30.0
2,6,Lisa Rinna,3.0,3.0,3.0,0,27.0
2,6,George Hamilton,4.0,4.0,4.0,0,23.0
2,6,Jerry Rice,4.0,5.0,5.0,1,23.0
2,7,Stacy Keibler,1.0,1.0,1.0,0,27.5
2,7,Drew Lachey,1.0,3.0,2.0,0,27.5
2,7,Lisa Rinna,3.0,2.0,3.0,0,26.5
2,7,Jerry Rice,4.0,4.0,4.0,1,20.5
2,8,Stacy Keibler,2.0,1.0,1.0,0,28.6665
2,8,Drew Lachey,1.0,3.0,3.0,1,28.9998
2,8,Jerry Rice,3.0,2.0,3.0,1,26.666600000000003
3,1,Vivica A. Fox,3.0,1.0,1.0,0,22.0
3,1,Willa Ford,3.0,1.0,1.0,0,22.0
3,1,Mario Lopez,1.0,4.0,3.0,0,26.0
3,1,Emmitt Smith,2.0,3.0,3.0,0,24.0
3,1,Joey Lawrence,5.0,5.0,5.0,0,21.0
3,1,Monique Coleman,6.0,6.0,6.0,0,19.0
3,1,Shanna Moakler,7.0,7.0,7.0,0,18.0
3,1,Harry Hamlin,8.0,8.0,8.0,0,17.0
3,1,Jerry Springer,9.0,9.0,9.0,0,16.0
3,1,Sara Evans,10.0,10.0,10.0,0,15.0
3,1,Tucker Carlson,11.0,11.0,11.0,1,12.0
3,2,Joey Lawrence,1.0,3.0,1.0,0,29.0
3,2,Monique Coleman,2.0,2.0,1.0,0,26.0
3,2,Emmitt Smith,3.0,5.0,3.0,0,24.0
3,2,Mario Lopez,7.0,1.0,3.0,0,21.0
3,2,Willa Ford,5.0,4.0,5.0,0,23.0
3,2,Vivica A. Fox,3.0,7.0,6.0,0,24.0
3,2,Shanna Moakler,6.0,6.0,7.0,0,22.0
3,2,Harry Hamlin,7.0,8.0,8.0,0,21.0
3,2,Sara Evans,7.0,9.0,9.0,0,21.0
3,2,Jerry Springer,10.0,10.0,10.0,1,19.0
3,3,Monique Coleman,1.0,1.0,1.0,0,27.0
3,3,Vivica A. Fox,1.0,3.0,2.0,0,27.0
3,3,Mario Lopez,4.0,2.0,3.0,0,22.0
3,3,Sara Evans,3.0,5.0,4.0,0,25.0
3,3,Joey Lawrence,4.0,4.0,4.0,0,22.0
3,3,Willa Ford,4.0,6.0,6.0,0,22.0
3,3,Harry Hamlin,4.0,7.0,7.0,0,22.0
3,3,Jerry Springer,8.0,9.0,8.0,0,21.0
3,3,Emmitt Smith,9.0,8.0,9.0,1,19.0
3,4,Mario Lopez,1.0,2.0,1.0,0,29.0
3,4,Willa Ford,2.0,1.0,1.0,0,28.0
3,4,Joey Lawrence,3.0,3.0,3.0,0,27.0
3,4,Monique Coleman,4.0,4.0,4.0,0,24.0
3,4,Vivica A. Fox,4.0,5.0,5.0,0,24.0
3,4,Emmitt Smith,4.0,6.0,6.0,0,24.0
3,4,Jerry Springer,7.0,8.0,7.0,0,22.0
3,4,Sara Evans,8.0,7.0,8.0,1,20.0
3,5,Monique Coleman,1.0,2.0,1.0,0,27.0
3,5,Mario Lopez,1.0,3.0,2.0,0,27.0
3,5,Willa Ford,1.0,4.0,3.0,0,27.0
3,5,Emmitt Smith,1.0,5.0,4.0,0,27.0
3,5,Joey Lawrence,5.0,1.0,4.0,0,25.0
3,5,Jerry Springer,6.0,7.0,7.0,1,24.0
3,5,Sara Evans,6.0,6.0,7.0,1,24.0
3,6,Mario Lopez,1.0,1.0,1.0,0,28.0
3,6,Emmitt Smith,2.0,4.0,2.0,0,25.0
3,6,Joey Lawrence,3.0,3.0,2.0,0,24.0
3,6,Monique Coleman,4.0,2.0,2.0,0,23.0
3,6,Jerry Springer,5.0,5.0,5.0,0,18.0
3,7,Joey Lawrence,1.0,2.0,1.0,0,28.5
3,7,Mario Lopez,3.0,1.0,2.0,0,28.0
3,7,Emmitt Smith,1.0,4.0,3.0,0,28.5
3,7,Monique Coleman,4.0,3.0,4.0,0,27.0
3,7,Jerry Springer,5.0,5.0,5.0,1,23.0
3,8,Mario Lopez,1.0,2.0,1.0,0,28.5
3,8,Joey Lawrence,2.0,1.0,1.0,0,27.0
3,8,Emmitt Smith,2.0,3.0,3.0,0,27.0
3,8,Monique Coleman,4.0,4.0,4.0,1,26.5
3,9,Joey Lawrence,1.0,1.0,1.0,0,29.5
3,9,Mario Lopez,1.0,2.0,2.0,0,29.5
3,9,Emmitt Smith,1.0,3.0,3.0,1,29.5
3,10,Mario Lopez,1.0,1.0,1.0,0,29.666600000000003
3,10,Emmitt Smith,1.0,2.0,2.0,1,29.666600000000003
4,1,Joey Fatone,1.0,2.0,1.0,0,24.0
4,1,Laila Ali,2.0,1.0,1.0,0,23.0
4,1,Apolo Anton Ohno,3.0,3.0,3.0,0,21.0
4,1,Ian Ziering,3.0,3.0,3.0,0,21.0
4,1,Paulina Porizkova,5.0,5.0,5.0,0,19.0
4,1,Shandi Finnessey,5.0,5.0,5.0,0,19.0
4,1,Heather Mills,7.0,8.0,7.0,0,18.0
4,1,John Ratzenberger,8.0,7.0,7.0,0,17.0
4,1,Clyde Drexler,9.0,9.0,9.0,0,16.0
4,1,Leeza Gibbons,10.0,10.0,10.0,0,15.0
4,1,Billy Ray Cyrus,11.0,11.0,11.0,0,13.0
4,2,Heather Mills,3.0,1.0,1.0,0,24.0
4,2,Joey Fatone,3.0,1.0,1.0,0,24.0
4,2,Laila Ali,1.0,4.0,3.0,0,27.0
4,2,Apolo Anton Ohno,2.0,3.0,3.0,0,26.0
4,2,Ian Ziering,5.0,5.0,5.0,0,22.0
4,2,John Ratzenberger,6.0,7.0,6.0,0,21.0
4,2,Paulina Porizkova,6.0,8.0,7.0,0,21.0
4,2,Leeza Gibbons,6.0,9.0,8.0,0,21.0
4,2,Billy Ray Cyrus,6.0,10.0,9.0,0,21.0
4,2,Shandi Finnessey,10.0,6.0,9.0,0,20.0
4,2,Clyde Drexler,11.0,11.0,11.0,1,18.0
4,3,Heather Mills,1.0,1.0,1.0,0,24.0
4,3,Joey Fatone,1.0,2.0,2.0,0,24.0
4,3,Ian Ziering,1.0,4.0,3.0,0,24.0
4,3,Leeza Gibbons,1.0,5.0,4.0,0,24.0
4,3,Apolo Anton Ohno,5.0,3.0,5.0,0,23.0
4,3,Laila Ali,6.0,6.0,6.0,0,21.0
4,3,Billy Ray Cyrus,6.0,7.0,7.0,0,21.0
4,3,Shandi Finnessey,6.0,9.0,8.0,0,21.0
4,3,John Ratzenberger,9.0,8.0,9.0,0,20.0
4,3,Clyde Drexler,10.0,10.0,10.0,1,16.0
4,4,Apolo Anton Ohno,2.0,1.0,1.0,0,26.0
4,4,Joey Fatone,1.0,4.0,2.0,0,28.0
4,4,Ian Ziering,3.0,3.0,3.0,0,24.0
4,4,Heather Mills,4.0,2.0,3.0,0,23.0
4,4,Laila Ali,5.0,5.0,5.0,0,21.0
4,4,Billy Ray Cyrus,5.0,6.0,6.0,0,21.0
4,4,Leeza Gibbons,7.0,7.0,7.0,0,16.0
4,4,John Ratzenberger,7.0,8.0,8.0,0,16.0
4,4,Clyde Drexler,9.0,9.0,9.0,1,15.0
4,5,Laila Ali,2.0,1.0,1.0,0,28.0
4,5,Apolo Anton Ohno,1.0,3.0,2.0,0,30.0
4,5,Joey Fatone,3.0,2.0,3.0,0,25.0
4,5,Ian Ziering,4.0,4.0,4.0,0,24.0
4,5,Heather Mills,5.0,5.0,5.0,0,21.0
4,5,John Ratzenberger,6.0,7.0,6.0,0,18.0
4,5,Billy Ray Cyrus,7.0,6.0,6.0,0,17.0
4,5,Clyde Drexler,8.0,8.0,8.0,1,13.0
4,6,Apolo Anton Ohno,1.0,1.0,1.0,0,28.0
4,6,Laila Ali,1.0,2.0,2.0,0,28.0
4,6,Joey Fatone,3.0,4.0,3.0,0,27.0
4,6,Heather Mills,5.0,3.0,4.0,0,23.0
4,6,Ian Ziering,4.0,5.0,5.0,0,24.0
4,6,Billy Ray Cyrus,6.0,6.0,6.0,0,21.0
4,6,John Ratzenberger,7.0,7.0,7.0,1,19.0
4,7,Laila Ali,1.0,1.0,1.0,0,29.5
4,7,Joey Fatone,1.0,4.0,2.0,0,29.5
4,7,Apolo Anton Ohno,3.0,2.0,2.0,0,27.0
4,7,Ian Ziering,3.0,3.0,4.0,0,27.0
4,7,John Ratzenberger,5.0,6.0,5.0,0,22.5
4,7,Billy Ray Cyrus,6.0,5.0,6.0,1,19.0
4,8,Apolo Anton Ohno,1.0,1.0,1.0,0,29.0
4,8,Joey Fatone,2.0,3.0,2.0,0,27.5
4,8,Laila Ali,3.0,2.0,2.0,0,26.5
4,8,Ian Ziering,4.0,4.0,4.0,0,23.5
4,8,Billy Ray Cyrus,5.0,5.0,5.0,1,19.0
4,9,Laila Ali,1.0,3.0,1.0,0,30.0
4,9,Apolo Anton Ohno,3.0,1.0,1.0,0,29.5
4,9,Joey Fatone,1.0,4.0,3.0,0,30.0
4,9,Ian Ziering,4.0,2.0,4.0,1,29.0
4,10,Laila Ali,3.0,1.0,1.0,0,28.333200000000005
4,10,Apolo Anton Ohno,1.0,3.0,3.0,1,29.3332
4,10,Joey Fatone,2.0,2.0,3.0,1,28.6665
5,1,Jane Seymour,3.0,1.0,1.0,0,24.0
5,1,Mel B,3.0,1.0,1.0,0,24.0
5,1,Sabrina Bryan,1.0,4.0,3.0,0,26.0
5,1,Helio Castroneves,2.0,3.0,3.0,0,25.0
5,1,Albert Reed,5.0,5.0,5.0,0,21.0
5,1,Cameron Mathison,5.0,5.0,5.0,0,21.0
5,1,Jennie Garth,5.0,5.0,5.0,0,21.0
5,1,Marie Osmond,5.0,5.0,5.0,0,21.0
5,1,Mark Cuban,5.0,5.0,5.0,0,21.0
5,1,Wayne Newton,10.0,10.0,10.0,0,19.0
5,1,Floyd Mayweather Jr. ,11.0,11.0,11.0,0,18.0
5,1,Josie Maran,12.0,12.0,12.0,1,16.0
5,2,Marie Osmond,3.0,1.0,1.0,0,24.0
5,2,Helio Castroneves,1.0,4.0,2.0,0,27.0
5,2,Sabrina Bryan,2.0,3.0,2.0,0,26.0
5,2,Mel B,4.0,2.0,4.0,0,23.0
5,2,Jane Seymour,5.0,5.0,5.0,0,21.0
5,2,Floyd Mayweather Jr. ,5.0,6.0,6.0,0,21.0
5,2,Albert Reed,5.0,7.0,7.0,0,21.0
5,2,Cameron Mathison,5.0,7.0,7.0,0,21.0
5,2,Jennie Garth,5.0,7.0,7.0,0,21.0
5,2,Mark Cuban,10.0,10.0,10.0,0,18.0
5,2,Wayne Newton,11.0,11.0,11.0,1,15.0
5,3,Jane Seymour,1.0,4.0,1.0,0,27.0
5,3,Mel B,1.0,4.0,1.0,0,27.0
5,3,Sabrina Bryan,1.0,4.0,1.0,0,27.0
5,3,Marie Osmond,4.0,1.0,1.0,0,26.0
5,3,Jennie Garth,4.0,3.0,5.0,0,26.0
5,3,Helio Castroneves,6.0,2.0,6.0,0,24.0
5,3,Cameron Mathison,7.0,7.0,7.0,0,23.0
5,3,Floyd Mayweather Jr. ,8.0,8.0,8.0,0,21.0
5,3,Mark Cuban,9.0,9.0,9.0,0,20.0
5,3,Wayne Newton,10.0,10.0,10.0,1,18.0
5,4,Sabrina Bryan,1.0,1.0,1.0,0,30.0
5,4,Helio Castroneves,2.0,2.0,2.0,0,27.0
5,4,Jennie Garth,2.0,4.0,3.0,0,27.0
5,4,Mel B,5.0,3.0,4.0,0,26.0
5,4,Cameron Mathison,2.0,7.0,5.0,0,27.0
5,4,Jane Seymour,5.0,5.0,6.0,0,26.0
5,4,Marie Osmond,5.0,6.0,7.0,0,26.0
5,4,Floyd Mayweather Jr. ,8.0,8.0,8.0,0,23.0
5,4,Mark Cuban,9.0,9.0,9.0,1,22.0
5,5,Mel B,1.0,1.0,1.0,0,29.0
5,5,Sabrina Bryan,2.0,2.0,2.0,0,28.0
5,5,Jane Seymour,3.0,3.0,3.0,0,26.0
5,5,Cameron Mathison,3.0,5.0,4.0,0,26.0
5,5,Jennie Garth,5.0,4.0,5.0,0,25.0
5,5,Helio Castroneves,6.0,6.0,6.0,0,23.0
5,5,Marie Osmond,7.0,7.0,7.0,0,21.0
5,5,Mark Cuban,7.0,8.0,8.0,1,21.0
5,6,Mel B,1.0,1.0,1.0,0,30.0
5,6,Helio Castroneves,2.0,2.0,2.0,0,28.0
5,6,Sabrina Bryan,4.0,3.0,3.0,0,25.0
5,6,Jennie Garth,3.0,5.0,4.0,0,27.0
5,6,Cameron Mathison,4.0,4.0,4.0,0,25.0
5,6,Marie Osmond,6.0,7.0,6.0,0,23.0
5,6,Jane Seymour,7.0,6.0,7.0,1,22.0
5,7,Jennie Garth,2.0,2.0,1.0,0,26.5
5,7,Helio Castroneves,3.0,1.0,1.0,0,26.0
5,7,Mel B,1.0,5.0,3.0,0,27.0
5,7,Marie Osmond,3.0,6.0,4.0,0,26.0
5,7,Cameron Mathison,5.0,4.0,4.0,0,25.5
5,7,Jane Seymour,6.0,3.0,6.0,1,25.0
5,8,Mel B,2.0,1.0,1.0,0,28.0
5,8,Helio Castroneves,1.0,3.0,2.0,0,28.5
5,8,Jennie Garth,4.0,2.0,3.0,0,25.0
5,8,Cameron Mathison,3.0,4.0,4.0,0,25.5
5,8,Marie Osmond,5.0,5.0,5.0,1,24.5
5,9,Mel B,1.0,2.0,1.0,0,30.0
5,9,Helio Castroneves,1.0,3.0,2.0,0,30.0
5,9,Jennie Garth,3.0,1.0,2.0,0,29.0
5,9,Marie Osmond,4.0,4.0,4.0,1,28.0
5,10,Helio Castroneves,2.0,1.0,1.0,0,27.999900000000004
5,10,Mel B,1.0,3.0,3.0,1,28.333199999999998
5,10,Marie Osmond,3.0,2.0,3.0,1,23.0
6,1,Mario,2.0,3.0,1.0,0,24.0
6,1,Priscilla Presley,2.0,3.0,1.0,0,24.0
6,1,Jason Taylor,4.0,1.0,1.0,0,22.0
6,1,Marlee Matlin,4.0,1.0,1.0,0,22.0
6,1,Kristi Yamaguchi,1.0,5.0,5.0,0,27.0
6,1,Cristian de la Fuente,6.0,6.0,6.0,0,21.0
6,1,Shannon Elizabeth,6.0,6.0,6.0,0,21.0
6,1,Marissa Jaret Winokur,8.0,8.0,8.0,0,18.0
6,1,Steve Guttenberg,8.0,8.0,8.0,0,18.0
6,1,Penn Jillette,10.0,10.0,10.0,0,16.0
6,1,Adam Carolla,11.0,11.0,11.0,0,15.0
6,1,Monica Seles,11.0,11.0,11.0,0,15.0
6,2,Jason Taylor,1.0,5.0,1.0,0,27.0
6,2,Kristi Yamaguchi,1.0,5.0,1.0,0,27.0
6,2,Mario,3.0,3.0,1.0,0,26.0
6,2,Shannon Elizabeth,4.0,2.0,1.0,0,24.0
6,2,Priscilla Presley,6.0,1.0,5.0,0,21.0
6,2,Marlee Matlin,4.0,4.0,6.0,0,24.0
6,2,Marissa Jaret Winokur,6.0,7.0,7.0,0,21.0
6,2,Cristian de la Fuente,8.0,8.0,8.0,0,20.0
6,2,Adam Carolla,9.0,9.0,9.0,0,19.0
6,2,Steve Guttenberg,11.0,10.0,10.0,0,16.0
6,2,Penn Jillette,10.0,11.0,12.0,1,17.0
6,2,Monica Seles,12.0,12.0,12.0,1,15.0
6,3,Kristi Yamaguchi,1.0,2.0,1.0,0,27.0
6,3,Priscilla Presley,2.0,1.0,1.0,0,26.0
6,3,Cristian de la Fuente,3.0,4.0,3.0,0,25.0
6,3,Jason Taylor,5.0,3.0,4.0,0,23.0
6,3,Shannon Elizabeth,4.0,5.0,5.0,0,24.0
6,3,Mario,6.0,6.0,6.0,0,21.0
6,3,Marlee Matlin,6.0,7.0,7.0,0,21.0
6,3,Adam Carolla,6.0,9.0,8.0,0,21.0
6,3,Steve Guttenberg,6.0,10.0,9.0,0,21.0
6,3,Marissa Jaret Winokur,10.0,8.0,10.0,1,19.0
6,4,Jason Taylor,1.0,2.0,1.0,0,29.0
6,4,Kristi Yamaguchi,1.0,2.0,1.0,0,29.0
6,4,Shannon Elizabeth,3.0,1.0,3.0,0,28.0
6,4,Cristian de la Fuente,4.0,4.0,4.0,0,26.0
6,4,Mario,5.0,5.0,5.0,0,24.0
6,4,Marlee Matlin,5.0,6.0,6.0,0,24.0
6,4,Marissa Jaret Winokur,5.0,8.0,7.0,0,24.0
6,4,Priscilla Presley,8.0,7.0,8.0,0,22.0
6,4,Adam Carolla,9.0,9.0,9.0,1,19.0
6,5,Kristi Yamaguchi,1.0,1.0,1.0,0,29.0
6,5,Jason Taylor,2.0,2.0,2.0,0,27.0
6,5,Mario,2.0,4.0,3.0,0,27.0
6,5,Cristian de la Fuente,5.0,3.0,4.0,0,23.0
6,5,Shannon Elizabeth,5.0,5.0,5.0,0,23.0
6,5,Marissa Jaret Winokur,4.0,7.0,6.0,0,24.0
6,5,Marlee Matlin,7.0,6.0,7.0,0,22.0
6,5,Priscilla Presley,8.0,8.0,8.0,1,21.0
6,6,Kristi Yamaguchi,1.0,1.0,1.0,0,30.0
6,6,Mario,2.0,2.0,2.0,0,28.0
6,6,Cristian de la Fuente,3.0,4.0,3.0,0,27.0
6,6,Jason Taylor,5.0,3.0,4.0,0,24.0
6,6,Marissa Jaret Winokur,4.0,5.0,5.0,0,26.0
6,6,Shannon Elizabeth,5.0,6.0,6.0,0,24.0
6,6,Marlee Matlin,7.0,7.0,7.0,1,21.0
6,7,Jason Taylor,1.0,2.0,1.0,0,27.5
6,7,Kristi Yamaguchi,2.0,1.0,1.0,0,27.0
6,7,Mario,4.0,3.0,3.0,0,25.5
6,7,Marissa Jaret Winokur,3.0,5.0,4.0,0,26.0
6,7,Shannon Elizabeth,4.0,4.0,4.0,0,25.5
6,7,Cristian de la Fuente,6.0,6.0,6.0,1,23.0
6,8,Kristi Yamaguchi,2.0,3.0,1.0,0,27.5
6,8,Mario,3.0,2.0,1.0,0,26.5
6,8,Jason Taylor,4.0,1.0,1.0,0,26.0
6,8,Cristian de la Fuente,1.0,5.0,4.0,0,28.5
6,8,Marissa Jaret Winokur,5.0,4.0,5.0,1,25.0
6,9,Kristi Yamaguchi,1.0,2.0,1.0,0,28.5
6,9,Jason Taylor,3.0,1.0,2.0,0,27.5
6,9,Cristian de la Fuente,2.0,3.0,3.0,0,28.0
6,9,Marissa Jaret Winokur,4.0,4.0,4.0,1,26.0
6,10,Kristi Yamaguchi,1.0,3.0,1.0,0,30.0
6,10,Jason Taylor,2.0,2.0,3.0,1,28.5
6,10,Cristian de la Fuente,3.0,1.0,3.0,1,26.0
7,1,Lance Bass,3.0,2.0,1.0,0,21.5
7,1,Warren Sapp,3.0,2.0,1.0,0,21.5
7,1,Brooke Burke,1.0,5.0,3.0,0,24.5
7,1,Toni Braxton,2.0,4.0,3.0,0,22.5
7,1,Misty May-Treanor,5.0,1.0,3.0,0,21.0
7,1,Cody Linley,6.0,6.0,6.0,0,20.5
7,1,Maurice Greene,7.0,7.0,7.0,0,19.5
7,1,Kim Kardashian,8.0,8.0,8.0,0,18.5
7,1,Susan Lucci,8.0,8.0,8.0,0,18.5
7,1,Ted McGinley,8.0,8.0,8.0,0,18.5
7,1,Rocco DiSpirito,11.0,11.0,11.0,0,17.5
7,1,Cloris Leachman,12.0,12.0,13.0,1,16.0
7,1,Jeffrey Ross,13.0,13.0,13.0,1,12.0
7,2,Warren Sapp,1.0,2.0,1.0,0,24.0
7,2,Brooke Burke,1.0,3.0,2.0,0,24.0
7,2,Toni Braxton,3.0,1.0,2.0,0,23.0
7,2,Susan Lucci,4.0,5.0,4.0,0,21.0
7,2,Cody Linley,4.0,6.0,5.0,0,21.0
7,2,Misty May-Treanor,4.0,7.0,6.0,0,21.0
7,2,Lance Bass,7.0,4.0,6.0,0,20.0
7,2,Maurice Greene,8.0,8.0,8.0,0,19.0
7,2,Kim Kardashian,9.0,9.0,9.0,0,17.0
7,2,Rocco DiSpirito,10.0,10.0,11.0,1,16.0
7,2,Cloris Leachman,11.0,11.0,11.0,1,15.0
7,3,Brooke Burke,1.0,2.0,1.0,0,28.0
7,3,Warren Sapp,2.0,1.0,1.0,0,25.0
7,3,Toni Braxton,4.0,3.0,3.0,0,22.0
7,3,Maurice Greene,3.0,5.0,4.0,0,24.0
7,3,Lance Bass,4.0,4.0,4.0,0,22.0
7,3,Susan Lucci,6.0,6.0,6.0,0,21.0
7,3,Cody Linley,6.0,7.0,7.0,0,21.0
7,3,Rocco DiSpirito,8.0,8.0,8.0,0,20.0
7,3,Cloris Leachman,9.0,9.0,9.0,0,16.0
7,4,Lance Bass,1.0,1.0,1.0,0,26.0
7,4,Brooke Burke,1.0,2.0,2.0,0,26.0
7,4,Susan Lucci,3.0,3.0,3.0,0,24.0
7,4,Warren Sapp,5.0,4.0,4.0,0,22.0
7,4,Cody Linley,4.0,6.0,5.0,0,23.0
7,4,Toni Braxton,5.0,5.0,5.0,0,22.0
7,4,Cloris Leachman,5.0,8.0,7.0,0,22.0
7,4,Maurice Greene,8.0,7.0,8.0,0,20.0
7,4,Rocco DiSpirito,9.0,9.0,9.0,1,18.0
7,5,Brooke Burke,1.0,1.0,1.0,0,29.0
7,5,Cody Linley,2.0,3.0,2.0,0,28.0
7,5,Warren Sapp,4.0,2.0,3.0,0,25.0
7,5,Maurice Greene,3.0,6.0,4.0,0,27.0
7,5,Toni Braxton,5.0,4.0,4.0,0,22.0
7,5,Susan Lucci,5.0,5.0,6.0,0,22.0
7,5,Lance Bass,7.0,7.0,7.0,0,21.0
7,5,Cloris Leachman,7.0,8.0,8.0,1,21.0
7,6,Brooke Burke,2.0,1.0,1.0,0,26.0
7,6,Warren Sapp,3.0,2.0,2.0,0,25.0
7,6,Lance Bass,1.0,5.0,3.0,0,27.0
7,6,Cody Linley,4.0,3.0,4.0,0,23.0
7,6,Susan Lucci,4.0,4.0,5.0,0,23.0
7,6,Maurice Greene,6.0,6.0,6.0,0,21.0
7,6,Cloris Leachman,7.0,7.0,7.0,1,15.0
7,7,Brooke Burke,1.0,1.0,1.0,0,30.0
7,7,Lance Bass,2.0,4.0,2.0,0,25.0
7,7,Susan Lucci,4.0,2.0,2.0,0,24.0
7,7,Maurice Greene,2.0,6.0,4.0,0,25.0
7,7,Cody Linley,5.0,3.0,4.0,0,22.0
7,7,Warren Sapp,6.0,5.0,6.0,1,21.0
7,8,Brooke Burke,1.0,2.0,1.0,0,27.5
7,8,Lance Bass,3.0,1.0,2.0,0,25.0
7,8,Warren Sapp,2.0,3.0,3.0,0,27.0
7,8,Cody Linley,4.0,4.0,4.0,0,24.0
7,8,Maurice Greene,4.0,5.0,5.0,1,24.0
7,9,Lance Bass,1.0,2.0,1.0,0,28.5
7,9,Brooke Burke,2.0,1.0,1.0,0,24.5
7,9,Warren Sapp,2.0,3.0,3.0,0,24.5
7,9,Cody Linley,4.0,4.0,4.0,1,23.0
7,10,Warren Sapp,2.0,1.0,1.0,0,27.5
7,10,Brooke Burke,1.0,3.0,3.0,1,30.0
7,10,Lance Bass,2.0,2.0,3.0,1,27.5
8,1,Melissa Rycroft,2.0,1.0,1.0,0,23.0
8,1,Shawn Johnson,2.0,1.0,1.0,0,23.0
8,1,Gilles Marini,1.0,5.0,3.0,0,24.0
8,1,Lil' Kim,4.0,4.0,4.0,0,21.0
8,1,Chuck Wicks,5.0,3.0,4.0,0,20.0
8,1,David Alan Grier,6.0,6.0,6.0,0,19.0
8,1,Denise Richards,7.0,7.0,7.0,0,18.0
8,1,Holly Madison,7.0,7.0,7.0,0,18.0
8,1,Belinda Carlisle,9.0,9.0,9.0,0,17.0
8,1,Steve-O,9.0,9.0,9.0,0,17.0
